time,color
0,1
34,4
59,1
78,4
98,4
120,3
127.06,2
142.475,4
142.976,3
144.11,4
145.712,1
152.25,4
159.993,1
164.729,4
165.064,3
165.832,4
166.933,2
167.667,1
169.202,3
170.17,4
173.273,2
174.741,4
175.808,3
176.376,4
177.777,2
190.497,3
199.065,4
203.436,3
205.738,4
206.906,3
207.974,4
209.909,1
210.376,4
214.914,2
216.115,3
217.784,4
218.084,1
221.421,4
224.857,2
225.625,4
226.192,1
232.398,4
233.399,1
234.667,4
235.034,3
253.82,4
255.154,1
255.788,4
256.623,3
257.023,4
261.394,2
262.161,3
264.564,4
267.033,2
267.767,3
269.201,2
270.67,3
277.41,4
292.825,3
294.159,4
298.298,2
300,1
