time,color
0.0,4.0
23.856999999999999,1.0
24.358000000000001,4.0
26.593,2.0
27.027000000000001,3.0
29.294,2.0
29.795000000000002,4.0
31.532,2.0
33.433999999999997,1.0
36.07,2.0
62.762999999999998,1.0
64.031000000000006,4.0
67.801000000000002,2.0
69.335999999999999,4.0
70.637,2.0
71.305000000000007,4.0
72.539000000000001,2.0
73.474000000000004,1.0
74.540999999999997,4.0
89.956999999999994,2.0
91.125,4.0
92.391999999999996,3.0
93.126999999999995,1.0
93.760000000000005,2.0
94.460999999999999,4.0
95.962000000000003,1.0
96.129999999999995,2.0
97.396000000000001,4.0
98.665000000000006,2.0
99.332999999999998,1.0
99.5,4.0
102.97,2.0
103.73699999999999,4.0
105.572,2.0
105.973,4.0
106.306,3.0
133.86699999999999,1.0
136.73699999999999,4.0
139.63999999999999,2.0
141.47499999999999,4.0
144.678,2.0
147.81399999999999,4.0
150.98400000000001,2.0
151.61799999999999,4.0
153.387,2.0
154.721,4.0
157.524,2.0
159.15899999999999,4.0
159.92699999999999,2.0
160.727,4.0
164.43100000000001,2.0
167.13399999999999,4.0
171.97200000000001,3.0
172.30600000000001,4.0
173.774,2.0
174.50800000000001,4.0
175.84200000000001,2.0
176.87700000000001,4.0
177.97800000000001,1.0
178.845,4.0
180.14699999999999,2.0
182.11500000000001,1.0
186.386,4.0
192.49199999999999,2.0
193.36000000000001,4.0
199.733,2.0
200.73400000000001,3.0
201.03399999999999,2.0
202.102,4.0
203.136,1.0
203.93700000000001,4.0
211.411,2.0
212.11199999999999,4.0
214.34800000000001,1.0
214.815,4.0
222.12200000000001,2.0
223.38999999999999,4.0
227.19399999999999,3.0
227.96100000000001,4.0
231.93199999999999,2.0
232.566,4.0
233.59999999999999,2.0
234.101,4.0
235.80199999999999,2.0
239.77199999999999,4.0
242.61000000000001,1.0
281.84800000000001,2.0
282.81599999999997,4.0
284.11700000000002,1.0
288.48500000000001,4.0
293.36000000000001,1.0
300.0,2.0
