time,sound
0.0,4.0
1.3679999999999601,2.0
4.2029999999997583,3.0
5.93799984,1.0
8.64200000000065,3.0
11.577999999999022,4.0
32.89900000001403,2.0
34.53400000001022,1.0
36.23600000000625,3.0
38.13800000000182,1.0
40.27399999999451,2.0
42.875999999990775,3.0
44.14399999998782,1.0
45.6119999999844,3.0
47.84799999997919,4.0
52.61599999997507,3.0
53.38699999996628,1.0
54.28699999996418,2.0
55.554999999961225,3.0
57.15699999995749,1.0
59.95999999995096,2.0
62.82899999994427,4.0
123.69000000022655,3.0
128.7280000002506,1.0
130.06300000025698,3.0
133.70000000027434,4.0
137.23700000029123,2.0
144.1440000003242,3.0
148.68200000034588,1.0
151.68500000036022,3.0
155.3880000003779,4.0
155.45500000037822,2.0
160.82700000040387,2.0
163.69700000041757,1.0
165.3980000004257,3.0
167.96800000043797,1.0
168.86800000044227,2.0
174.64100000046983,3.0
177.74400000048465,1.0
182.64900000050807,3.0
191.12400000054853,4.0
192.75800000055156,2.0
193.1930000005584,3.0
195.0950000005675,1.0
196.99700000057658,3.0
197.69700000057992,4.0
198.26500000058263,5.0
198.59800000058422,3.0
200.00000000059092,2.0
200.96700000059553,3.0
202.4690000006027,1.0
204.13700000061067,2.0
204.4370000006121,3.0
205.53800000061736,2.0
205.97200000061943,3.0
206.9070000006239,5.0
210.140000000625,3.0
227.39400000072172,1.0
229.6290000007324,2.0
233.73300000075199,4.0
234.60100000075613,2.0
238.60400000077,3.0
239.93900000078162,1.0
241.3410000007883,3.0
242.80900000079532,1.0
252.31900000084073,2.0
253.92000000084838,1.0
274.77400000041433,3.0
277.24300000035595,4.0
278.81200000031885,5.0
282.0810000002652,3.0
299.6580000000151,5.0
300.0,2.0
